maintenance_id,full_date,maintenance_type,failure_type,is_unscheduled,mileage_at_event,parts_cost_myr,labour_hours,labour_cost_myr,total_cost_myr,downtime_hours,technician_count,warranty_covered,plate_number,model,brand,year_manufactured,engine_type,gross_weight_kg,fleet_segment,home_state,purchase_date,current_mileage_km,is_active,component_name,component_category,subsystem,expected_lifespan_km,unit_cost_myr,criticality_level,workshop_name,city,workshop_state,region,capacity_bays,is_authorised_scania,workshop_type,year,quarter,month,month_name,week,day_of_week,is_weekend,is_public_holiday
MNT-000018,2020-01-29,Predictive,,False,62075,1054.52,4.2,406.36,1460.88,9.7,3,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Fifth Wheel Coupling,Coupling,Connection,300000,1100,Critical,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2020,1,1,January,5,Wednesday,False,False
MNT-000019,2020-06-17,Scheduled PM,,False,77568,1535.25,11.8,1025.45,2560.7,4.8,2,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Clutch Assembly,Transmission,Coupling,200000,1800,High,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2020,2,6,June,25,Wednesday,False,False
MNT-000020,2020-08-02,Scheduled PM,,False,101705,2616.5,0.7,92.32,2708.82,5.3,4,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Turbocharger,Engine,Forced Induction,250000,3200,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2020,3,8,August,31,Sunday,True,False
MNT-000021,2020-12-09,Corrective,Hydraulic Failure,True,117766,389.46,6.8,660.97,1050.43,22.9,3,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Brake Pads (Front),Braking System,Friction,40000,320,Critical,Trans Logistics Workshop KL,Kuala Lumpur,Kuala Lumpur,West,18,False,Fleet Workshop,2020,4,12,December,50,Wednesday,False,False
MNT-000022,2020-12-14,Emergency,Contamination,True,128796,107.79,2.1,219.77,327.56,42.1,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Engine Oil Filter,Engine,Lubrication,15000,45,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2020,4,12,December,51,Monday,False,False
MNT-000023,2021-05-05,Corrective,Excessive Wear,True,141379,1593.17,5.2,694.22,2287.39,20.9,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Brake Drums,Braking System,Friction,150000,850,Critical,Scania Shah Alam Service Centre,Shah Alam,Selangor,West,12,True,Authorised Dealer,2021,2,5,May,18,Wednesday,False,False
MNT-000024,2021-08-31,Corrective,Excessive Wear,True,167982,2024.73,11.2,1395.98,3420.71,22.3,4,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Clutch Assembly,Transmission,Coupling,200000,1800,High,East Coast Truck Repairs Kuantan,Kuantan,Pahang,East,4,False,Independent,2021,3,8,August,35,Tuesday,False,True
MNT-000025,2022-05-24,Scheduled PM,,False,173543,334.32,3.7,433.12,767.44,7.9,4,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Battery,Electrical,Storage,24000,480,Medium,East Coast Truck Repairs Kuantan,Kuantan,Pahang,East,4,False,Independent,2022,2,5,May,21,Tuesday,False,False
MNT-000026,2022-05-25,Predictive,,False,195793,927.09,2.2,190.83,1117.92,7.8,3,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Fifth Wheel Coupling,Coupling,Connection,300000,1100,Critical,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2022,2,5,May,21,Wednesday,False,False
MNT-000027,2022-10-18,Emergency,Blowout,True,210622,1111.21,3.3,370.03,1481.24,52.0,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Tyres (Rear),Tyres,Contact,60000,580,Critical,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2022,4,10,October,42,Tuesday,False,False
MNT-000028,2023-01-06,Emergency,Leak,True,229840,194.36,8.6,1071.32,1265.68,11.5,3,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Coolant Hoses,Cooling System,Fluid Transfer,60000,95,Medium,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2023,1,1,January,1,Friday,False,False
MNT-000029,2023-05-15,Scheduled PM,,False,253412,73.5,10.9,1047.31,1120.81,6.2,4,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Fuel Filter,Fuel System,Filtration,20000,65,High,Scania Shah Alam Service Centre,Shah Alam,Selangor,West,12,True,Authorised Dealer,2023,2,5,May,20,Monday,False,False
MNT-000030,2023-08-16,Scheduled PM,,False,268717,70.19,8.1,955.9,1026.09,3.1,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Air Filter,Engine,Air Intake,20000,85,High,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2023,3,8,August,33,Wednesday,False,False
MNT-000031,2023-08-16,Scheduled PM,,False,292196,2012.64,11.2,1539.59,3552.23,3.8,2,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Drive Shaft,Drivetrain,Power Transfer,300000,2400,Critical,Scania Kuching,Kuching,Sarawak,East,6,True,Authorised Dealer,2023,3,8,August,33,Wednesday,False,False
MNT-000032,2023-10-23,Scheduled PM,,False,319783,596.55,9.0,961.82,1558.37,6.7,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Tyres (Front),Tyres,Contact,80000,650,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2023,4,10,October,43,Monday,False,False
MNT-000033,2024-03-27,Corrective,Hydraulic Failure,True,335477,836.93,7.6,929.95,1766.88,15.9,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Brake Drums,Braking System,Friction,150000,850,Critical,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2024,1,3,March,13,Wednesday,False,False
MNT-000034,2024-05-07,Predictive,,False,362749,318.8,11.3,1185.45,1504.25,12.6,4,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Brake Pads (Front),Braking System,Friction,40000,320,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2024,2,5,May,19,Tuesday,False,False
MNT-000035,2024-05-15,Warranty Claim,,False,380200,78.04,1.3,126.43,204.47,9.4,2,True,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Air Filter,Engine,Air Intake,20000,85,High,Roadside Emergency Unit Central,Kuala Lumpur,Kuala Lumpur,West,2,False,Mobile Unit,2024,2,5,May,20,Wednesday,False,False
MNT-000036,2024-09-08,Scheduled PM,,False,388549,662.63,5.6,817.64,1480.27,6.6,2,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,EGR Valve,Emissions,Exhaust,150000,980,Medium,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2024,3,9,September,36,Sunday,True,False
MNT-000037,2024-10-14,Predictive,,False,405146,44.08,5.2,617.93,662.01,4.5,1,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Engine Oil Filter,Engine,Lubrication,15000,45,High,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2024,4,10,October,42,Monday,False,False
MNT-000038,2024-10-23,Corrective,Crack,True,428480,4355.61,9.5,1035.18,5390.79,18.5,2,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,Turbocharger,Engine,Forced Induction,250000,3200,Critical,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2024,4,10,October,43,Wednesday,False,False
MNT-000039,2024-12-31,Scheduled PM,,False,438959,770.16,3.6,355.77,1125.93,2.9,4,False,QP9928,Scania R500,Scania,2018,Euro 6,44000,Heavy Haulage,Perak,2018-04-17,521029,True,EGR Valve,Emissions,Exhaust,150000,980,Medium,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2024,4,12,December,1,Tuesday,False,False
MNT-000040,2020-05-20,Scheduled PM,,False,113381,1974.6,6.0,772.02,2746.62,3.1,3,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Drive Shaft,Drivetrain,Power Transfer,300000,2400,Critical,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2020,2,5,May,21,Wednesday,False,False
MNT-000041,2020-07-14,Corrective,Blowout,True,130341,1283.31,3.7,380.4,1663.71,19.7,1,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Tyres (Front),Tyres,Contact,80000,650,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2020,3,7,July,29,Tuesday,False,False
MNT-000042,2020-12-23,Scheduled PM,,False,150467,107.24,6.8,868.5,975.74,7.7,2,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Gearbox Oil,Transmission,Lubrication,60000,120,Medium,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2020,4,12,December,52,Wednesday,False,False
MNT-000043,2021-03-26,Scheduled PM,,False,160027,1414.39,9.6,1337.71,2752.1,6.0,3,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Clutch Assembly,Transmission,Coupling,200000,1800,High,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2021,1,3,March,12,Friday,False,False
MNT-000044,2021-04-04,Corrective,Blockage,True,178160,4911.15,11.9,1013.61,5924.76,13.6,4,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Injectors,Fuel System,Injection,200000,2800,Critical,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2021,2,4,April,13,Sunday,True,False
MNT-000045,2021-07-10,Corrective,Wear,True,191294,1018.68,11.0,1337.24,2355.92,6.2,3,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Tyres (Rear),Tyres,Contact,60000,580,Critical,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2021,3,7,July,27,Saturday,True,False
MNT-000046,2021-08-25,Corrective,Overheating,True,210399,491.11,11.6,1453.16,1944.27,10.6,1,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Brake Pads (Front),Braking System,Friction,40000,320,Critical,Scania Shah Alam Service Centre,Shah Alam,Selangor,West,12,True,Authorised Dealer,2021,3,8,August,34,Wednesday,False,False
MNT-000047,2021-08-29,Corrective,Contamination,True,228215,3973.57,7.1,856.52,4830.09,12.9,4,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Injectors,Fuel System,Injection,200000,2800,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2021,3,8,August,34,Sunday,True,False
MNT-000048,2021-09-03,Corrective,Excessive Emissions,True,236028,1316.81,3.9,443.8,1760.61,22.4,1,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,EGR Valve,Emissions,Exhaust,150000,980,Medium,Scania Kuching,Kuching,Sarawak,East,6,True,Authorised Dealer,2021,3,9,September,35,Friday,False,False
MNT-000049,2022-02-08,Scheduled PM,,False,244226,716.3,6.5,876.84,1593.14,4.1,4,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Starter Motor,Electrical,Starting,150000,950,High,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2022,1,2,February,6,Tuesday,False,False
MNT-000050,2022-06-03,Scheduled PM,,False,270458,32.94,1.8,246.08,279.02,7.1,1,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Engine Oil Filter,Engine,Lubrication,15000,45,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2022,2,6,June,22,Friday,False,False
MNT-000051,2022-12-20,Corrective,Overheating,True,288730,64.9,5.4,557.11,622.01,13.2,2,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Engine Oil Filter,Engine,Lubrication,15000,45,High,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2022,4,12,December,51,Tuesday,False,False
MNT-000052,2023-02-07,Corrective,Excessive Wear,True,293875,2594.65,5.7,808.36,3403.01,12.6,2,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Clutch Assembly,Transmission,Coupling,200000,1800,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2023,1,2,February,6,Tuesday,False,False
MNT-000053,2023-02-15,Scheduled PM,,False,309556,451.06,10.5,914.79,1365.85,3.1,2,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Tyres (Rear),Tyres,Contact,60000,580,Critical,Mercedes-Benz Trucks PJ,Petaling Jaya,Selangor,West,8,True,Authorised Dealer,2023,1,2,February,7,Wednesday,False,False
MNT-000054,2024-01-09,Predictive,,False,327290,480.73,11.6,1325.46,1806.19,10.3,4,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Wheel Bearings,Suspension,Rolling,200000,450,High,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2024,1,1,January,2,Tuesday,False,False
MNT-000055,2024-09-29,Scheduled PM,,False,352425,221.76,8.2,755.03,976.79,6.8,1,False,JD6514,Scania R450,Scania,2017,Euro 6,44000,Long Haul,Johor,2017-12-14,448382,True,Brake Pads (Rear),Braking System,Friction,50000,280,Critical,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2024,3,9,September,39,Sunday,True,False
MNT-000056,2020-01-18,Scheduled PM,,False,80543,654.33,3.0,407.13,1061.46,2.2,3,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Brake Drums,Braking System,Friction,150000,850,Critical,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2020,1,1,January,3,Saturday,True,False
MNT-000057,2020-04-07,Predictive,,False,102281,645.13,9.4,1124.2,1769.33,13.9,1,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Tyres (Rear),Tyres,Contact,60000,580,Critical,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2020,2,4,April,15,Tuesday,False,False
MNT-000058,2020-08-03,Emergency,Leak,True,130840,1864.33,10.0,1056.8,2921.13,8.7,4,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Water Pump,Cooling System,Circulation,150000,620,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2020,3,8,August,32,Monday,False,False
MNT-000059,2020-09-01,Scheduled PM,,False,136896,1633.81,8.0,1052.15,2685.96,3.5,4,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,DPF Filter,Emissions,Filtration,200000,2200,High,Northern Truck Services Ipoh,Ipoh,Perak,North,6,False,Independent,2020,3,9,September,36,Tuesday,False,False
MNT-000060,2020-09-06,Corrective,Blowout,True,148773,818.15,1.8,253.03,1071.18,20.2,3,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Tyres (Rear),Tyres,Contact,60000,580,Critical,Scania Kuching,Kuching,Sarawak,East,6,True,Authorised Dealer,2020,3,9,September,36,Sunday,True,False
MNT-000061,2020-09-08,Emergency,Excessive Emissions,True,155718,4668.25,2.9,260.26,4928.51,19.7,3,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,DPF Filter,Emissions,Filtration,200000,2200,High,East Coast Truck Repairs Kuantan,Kuantan,Pahang,East,4,False,Independent,2020,3,9,September,37,Tuesday,False,False
MNT-000062,2020-09-13,Scheduled PM,,False,169478,1433.68,8.6,882.84,2316.52,3.7,1,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Clutch Assembly,Transmission,Coupling,200000,1800,High,Northern Truck Services Ipoh,Ipoh,Perak,North,6,False,Independent,2020,3,9,September,37,Sunday,True,False
MNT-000063,2020-11-30,Scheduled PM,,False,178635,308.51,11.9,1717.33,2025.84,7.2,2,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Brake Pads (Rear),Braking System,Friction,50000,280,Critical,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2020,4,11,November,49,Monday,False,False
MNT-000064,2020-12-05,Emergency,Blockage,True,202556,6389.66,8.3,1106.42,7496.08,38.3,3,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,DPF Filter,Emissions,Filtration,200000,2200,High,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2020,4,12,December,49,Saturday,True,False
MNT-000065,2021-07-11,Corrective,Contamination,True,216672,64.55,1.6,226.57,291.12,14.3,3,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Engine Oil Filter,Engine,Lubrication,15000,45,High,Trans Logistics Workshop KL,Kuala Lumpur,Kuala Lumpur,West,18,False,Fleet Workshop,2021,3,7,July,27,Sunday,True,False
MNT-000066,2021-07-28,Scheduled PM,,False,245623,412.66,9.4,753.63,1166.29,6.4,4,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Wheel Bearings,Suspension,Rolling,200000,450,High,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2021,3,7,July,30,Wednesday,False,False
MNT-000067,2021-10-17,Scheduled PM,,False,264701,271.44,6.6,557.26,828.7,3.3,2,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Brake Pads (Front),Braking System,Friction,40000,320,Critical,Roadside Emergency Unit Central,Kuala Lumpur,Kuala Lumpur,West,2,False,Mobile Unit,2021,4,10,October,41,Sunday,True,False
MNT-000068,2021-12-02,Scheduled PM,,False,285604,971.39,7.1,735.86,1707.25,5.4,3,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Fifth Wheel Coupling,Coupling,Connection,300000,1100,Critical,Highway Fleet Services Seremban,Seremban,Negeri Sembilan,West,8,False,Fleet Workshop,2021,4,12,December,48,Thursday,False,False
MNT-000069,2022-01-29,Corrective,Short Circuit,True,305064,1142.15,1.9,213.12,1355.27,21.2,4,False,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Starter Motor,Electrical,Starting,150000,950,High,Volvo Trucks Shah Alam,Shah Alam,Selangor,West,10,True,Authorised Dealer,2022,1,1,January,4,Saturday,True,False
MNT-000070,2022-02-03,Warranty Claim,,False,331363,2872.16,12.0,1319.35,4191.51,22.2,3,True,MC7201,Volvo FM,Volvo,2019,Euro 5,40000,Long Haul,Kedah,2019-01-24,357419,True,Drive Shaft,Drivetrain,Power Transfer,300000,2400,Critical,Volvo Trucks Shah Alam,Shah Alam,Selangor,West,10,True,Authorised Dealer,2022,1,2,February,5,Thursday,False,False
